Number of Branches Processed,Accuracy (%)
10000,81.44
20000,78.765
30000,79.71666666666667
40000,79.5
50000,79.886
60000,79.69333333333334
70000,79.75999999999999
80000,80.03
90000,80.61555555555555
100000,80.76100000000001
110000,80.77727272727273
120000,80.81333333333333
130000,81.04230769230769
140000,81.05857142857143
150000,80.85733333333334
160000,80.79499999999999
170000,80.87705882352941
180000,80.94444444444444
190000,80.95842105263158
200000,80.8015
210000,80.98428571428572
220000,81.13272727272727
230000,81.22826086956522
240000,81.36250000000001
250000,81.22279999999999
260000,81.32423076923077
270000,81.35407407407408
280000,81.41535714285715
290000,81.42655172413794
300000,81.418
310000,81.38645161290322
320000,81.328125
330000,81.4060606060606
340000,81.36705882352942
350000,81.28514285714286
360000,81.33194444444445
370000,81.40621621621622
380000,81.4536842105263
390000,81.41025641025641
400000,81.42049999999999
